id,source,title,content,authors,published_date,url,type,language,stars,collected_date,status
1016,GitHub,FDTD-EM-GPU,Finite-Difference-Time-Domain ElectroMagnetic simulation GPU s,jrugis,2013-07-22,https://github.com/jrugis/FDTD-EM-GPU,code,C++,3,2025-10-10,raw
931,GitHub,simpegEMIP,Forward simulation and inversion of induced polarization effects in electromagnetic data,sgkang,2017-03-13,https://github.com/sgkang/simpegEMIP,code,Jupyter Notebook,17,2025-10-10,raw
1070,GitHub,pemf-audio-generator,Open-source scripts for generating PEMF Pulsed Electromagnetic Field audio with safety transparency and research in mind,ChrisJAtlas,2025-09-24,https://github.com/ChrisJAtlas/pemf-audio-generator,code,PowerShell,0,2025-10-10,raw
1010,GitHub,Anisotropic-FDTD,Anisotropic FDTD Electromagnetic cloak,csernyavao,2019-10-03,https://github.com/csernyavao/Anisotropic-FDTD,code,MATLAB,4,2025-10-10,raw
1048,GitHub,bfield,FDTD Electromagnetic Field Solver with Blender front end,forbes3100,2023-01-29,https://github.com/forbes3100/bfield,code,C++,1,2025-10-10,raw
1024,GitHub,LFDTD jl,FDTD simulation of lightning electromagnetic pulses,aluque,2022-09-13,https://github.com/aluque/LFDTD.jl,code,Jupyter Notebook,2,2025-10-10,raw
944,GitHub,Metalens,Electromagnetic simulations of a focusing metalens,jacobson15p,2019-12-20,https://github.com/jacobson15p/Metalens,code,Python,9,2025-10-10,raw
975,GitHub,Electromagnetic-Wave-Simulator,This is a basic python simulation of electromagnetic waves The simulation is technically three dimensional but the third dimension is compressed making it essentially two dimensional Having a slice of the third dimension allows the governing equations to be direct grid approximations of Maxwell s Equaitons,bmkitch,2024-12-18,https://github.com/bmkitch/Electromagnetic-Wave-Simulator,code,Python,0,2025-10-10,raw
1071,GitHub,PKE_Meter_Pico_CircuitPython,Functional replica of the P K E Meter from the movie Ghostbusters It mimics the iconic design and utilizes logic to serves as a real Electromagnetic Field EMF detector,ant3869,2024-02-05,https://github.com/ant3869/PKE_Meter_Pico_CircuitPython,code,Python,0,2025-10-10,raw
962,GitHub,maxwellbloch,A Python package for solving the coupled Maxwell-Bloch equations describing the nonlinear propagation of near-resonant light through thermal quantised systems such as atomic vapours,tpogden,2016-06-09,https://github.com/tpogden/maxwellbloch,code,Python,34,2025-10-10,raw
910,GitHub,maxwell-simulation,Interactive web-based simulator of electromagnetic waves,RobinKa,2019-10-16,https://github.com/RobinKa/maxwell-simulation,code,TypeScript,122,2025-10-10,raw
1058,GitHub,Electromagnetic-Field-Visualizer,This project was conducted as part of a course on electromagnetism The goal is to create a Python-based software tool to help students and researchers visualize the electric field of various shapes and extend it to any shape,Ines-Belhaj,2024-07-31,https://github.com/Ines-Belhaj/Electromagnetic-Field-Visualizer,code,Python,0,2025-10-10,raw
949,GitHub,HGCAL_TB2017_WGAN,Precise simulation of electromagnetic calorimeter showers using a Wasserstein Generative Adversarial Network,ThorbenQuast,2019-03-08,https://github.com/ThorbenQuast/HGCAL_TB2017_WGAN,code,Python,8,2025-10-10,raw
1051,GitHub,Scientific-Machine-Learning-for-Electromagnetic-Simulation,Using NVIDIA Physics Nemo framework to create a Physics Informed Neural Operator to simulate 2D Electromagnetic Field Simulations,flexs2n,2024-10-16,https://github.com/flexs2n/Scientific-Machine-Learning-for-Electromagnetic-Simulation,code,Jupyter Notebook,1,2025-10-10,raw
1025,GitHub,fdtd-waveguide-simulation,Simulating electromagnetic waves behavior in wave guides using meep library,vortex2jm,2025-08-07,https://github.com/vortex2jm/fdtd-waveguide-simulation,code,Python,2,2025-10-10,raw
930,GitHub,TMatrixOpt,An electromagnetic solver capable of simulating and optimizing 1D thin-layer structures via the semi-analytical transfer matrix method For example one can simulate and optimize broadband distributed Bragg reflectors anti-reflection coatings optical bandpass filters and photovoltaic devices,smhooten,2020-12-17,https://github.com/smhooten/TMatrixOpt,code,Python,18,2025-10-10,raw
1041,GitHub,Propagation-of-electromagnetic-fields,Python+GUI Propagation of electromagnetic field in ideal medium and ideal conductor,HanGuangXin,2020-06-30,https://github.com/HanGuangXin/Propagation-of-electromagnetic-fields,code,Python,7,2025-10-10,raw
919,GitHub,MESTI m,2D multi-source electromagnetic simulations in frequency domain implementing the augmented partial factorization APF and other methods,complexphoton,2022-03-26,https://github.com/complexphoton/MESTI.m,code,MATLAB,43,2025-10-10,raw
